Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Gabon,7189,49,4682,2458,205,0,219,0.68,65.13,1.05,6433,756,11.75,Africa
Gambia,326,8,66,252,49,2,6,2.45,20.25,12.12,112,214,191.07,Africa
Georgia,1137,16,922,199,6,0,2,1.41,81.09,1.74,1039,98,9.43,Europe
Germany,207112,9125,190314,7673,445,1,259,4.41,91.89,4.79,203325,3787,1.86,Europe
Ghana,33624,168,29801,3655,655,0,307,0.5,88.63,0.56,28430,5194,18.27,Africa
Greece,4227,202,1374,2651,34,0,0,4.78,32.51,14.7,4012,215,5.36,Europe
Greenland,14,0,13,1,1,0,0,0.0,92.86,0.0,13,1,7.69,Europe
Grenada,23,0,23,0,0,0,0,0.0,100.0,0.0,23,0,0.0,Americas
Guatemala,45309,1761,32455,11093,256,27,843,3.89,71.63,5.43,39039,6270,16.06,Americas
Guinea,7055,45,6257,753,47,2,105,0.64,88.69,0.72,6590,465,7.06,Africa
Guinea-Bissau,1954,26,803,1125,0,0,0,1.33,41.1,3.24,1949,5,0.26,Africa
Guyana,389,20,181,188,19,0,0,5.14,46.53,11.05,337,52,15.43,Americas
Haiti,7340,158,4365,2817,25,1,0,2.15,59.47,3.62,7053,287,4.07,Americas
Holy See,12,0,12,0,0,0,0,0.0,100.0,0.0,12,0,0.0,Europe
Honduras,39741,1166,5039,33536,465,50,117,2.93,12.68,23.14,34611,5130,14.82,Americas
Hungary,4448,596,3329,523,13,0,0,13.4,74.84,17.9,4339,109,2.51,Europe
Iceland,1854,10,1823,21,7,0,0,0.54,98.33,0.55,1839,15,0.82,Europe
India,1480073,33408,951166,495499,44457,637,33598,2.26,64.26,3.51,1155338,324735,28.11,South-East Asia
Indonesia,100303,4838,58173,37292,1525,57,1518,4.82,58.0,8.32,88214,12089,13.7,South-East Asia
Iran,293606,15912,255144,22550,2434,212,1931,5.42,86.9,6.24,276202,17404,6.3,Eastern Mediterranean
Iraq,112585,4458,77144,30983,2553,96,1927,3.96,68.52,5.78,94693,17892,18.89,Eastern Mediterranean
Ireland,25892,1764,23364,764,11,0,0,6.81,90.24,7.55,25766,126,0.49,Europe
Israel,63985,474,27133,36378,2029,4,108,0.74,42.41,1.75,52003,11982,23.04,Europe
Italy,246286,35112,198593,12581,168,5,147,14.26,80.64,17.68,244624,1662,0.68,Europe
Jamaica,853,10,714,129,11,0,0,1.17,83.7,1.4,809,44,5.44,Americas
Japan,31142,998,21970,8174,594,0,364,3.2,70.55,4.54,25706,5436,21.15,Western Pacific
Jordan,1176,11,1041,124,8,0,0,0.94,88.52,1.06,1223,-47,-3.84,Eastern Mediterranean
Kazakhstan,84648,585,54404,29659,1526,0,1833,0.69,64.27,1.08,73468,11180,15.22,Europeenya,17975,285,7833,9857,372,5,90,1.59,43.58,3.64,13771,4204,30.53,Africaho,505,12,128,365,0,0,0,2.38,25.35,9.38,359,146,40.67,Africa
